HC2,HC6,HC8,HC17,HC18,HC19,HC22,HC28,HC31,HC32,HC36,HC37,HC39,HC45
62.00,59.00,68.00,59.00,71.00,54.00,63.00,71.00,60.00,56.00,72.00,71.00,76.00,75.00
59.00,61.00,66.00,64.00,70.00,66.00,58.00,68.00,61.00,58.00,67.00,69.00,80.00,67.00
55.00,54.00,65.00,63.00,68.00,61.00,55.00,68.00,56.00,60.00,64.00,67.00,78.00,72.00
62.00,63.00,63.00,61.00,66.00,58.00,58.00,66.00,65.00,61.00,67.00,72.00,73.00,63.00
64.00,56.00,61.00,59.00,64.00,59.00,56.00,64.00,66.00,63.00,60.00,71.00,74.00,60.00
60.00,64.00,60.00,57.00,63.00,68.00,58.00,61.00,63.00,65.00,62.00,69.00,71.00,68.00
66.00,58.00,56.00,59.00,61.00,65.00,65.00,63.00,60.00,63.00,55.00,62.00,64.00,62.00
62.00,66.00,68.00,66.00,66.00,61.00,62.00,66.00,63.00,66.00,59.00,66.00,68.00,70.00
67.00,59.00,56.00,64.00,71.00,66.00,63.00,69.00,66.00,61.00,65.00,72.00,74.00,68.00
